id,product_code,scent_name,size_value,oil_percentage,solvent_percentage,price,oil_id,solvent_id,bottle_id,bottle_sticker_id,box_id,box_sticker_id,wrapping_id,created_at
1,CS-ANT-01,ANTONITO,50,20,80,,RM-001,RM-011,RM-012,RM-014,RM-024,RM-025,RM-035,2026-09-11 05:55:29.36996+00
2,CS-AUR-02,AURELIUS,50,20,80,,RM-002,RM-011,RM-012,RM-015,RM-024,RM-026,RM-035,2026-09-11 05:56:18.21797+00
3,CS-DWI-03,DWIGHT,50,20,80,,RM-003,RM-011,RM-012,RM-016,RM-024,RM-027,RM-035,2026-09-11 05:56:45.956905+00
4,CS-GAB-04,GAB,50,20,80,,RM-004,RM-011,RM-012,RM-017,RM-024,RM-028,RM-035,2026-09-11 05:57:04.183514+00
5,CS-RND-05,REINE DE NUIT,50,20,80,,RM-005,RM-011,RM-012,RM-018,RM-024,RM-029,RM-035,2026-09-11 05:57:32.423228+00
6,CS-BLA-06,BLANCHE,50,20,80,,RM-006,RM-011,RM-013,RM-019,RM-024,RM-030,RM-035,2026-09-11 05:57:58.974786+00
7,CS-CUC-07,CUCAMELLA,50,20,80,,RM-007,RM-011,RM-013,RM-020,RM-024,RM-031,RM-035,2026-09-11 05:59:52.966263+00
8,CS-EMI-08,EMILY,50,20,80,,RM-008,RM-011,RM-013,RM-021,RM-024,RM-032,RM-035,2026-09-11 06:00:25.58683+00
9,CS-KIT-09,KITTY,50,20,80,,RM-009,RM-011,RM-013,RM-022,RM-024,RM-033,RM-035,2026-09-11 06:00:48.827548+00
10,CS-VEL-10,VELOURA,50,20,80,,RM-010,RM-011,RM-012,RM-023,RM-024,RM-034,RM-035,2026-09-11 06:01:19.450317+00
