id,code,raw_material,name,category,volume_size,volumesize,base_unit,baseunit,created_at,unit,baseUnit,rawMaterial
RM-001,RM-001,ANT OIL,,OIL,,,ml,,2026-09-11 05:43:35.68824+00,,ml,ANT OIL
RM-002,RM-002,AUR OIL,,OIL,,,ml,,2026-09-11 05:46:32.261177+00,,ml,AUR OIL
RM-003,RM-003,DWI OIL,,OIL,,,ml,,2026-09-11 05:46:40.886351+00,,ml,DWI OIL
RM-004,RM-004,GAB OIL,,OIL,,,ml,,2026-09-11 05:46:49.667259+00,,ml,GAB OIL
RM-005,RM-005,RND OIL,,OIL,,,ml,,2026-09-11 05:46:57.236067+00,,ml,RND OIL
RM-006,RM-006,BLA OIL,,OIL,,,ml,,2026-09-11 05:47:33.863139+00,,ml,BLA OIL
RM-007,RM-007,CUC OIL,,OIL,,,ml,,2026-09-11 05:47:40.534453+00,,ml,CUC OIL
RM-008,RM-008,EMI OIL,,OIL,,,ml,,2026-09-11 05:47:46.409684+00,,ml,EMI OIL
RM-009,RM-009,KIT OIL,,OIL,,,ml,,2026-09-11 05:47:54.017753+00,,ml,KIT OIL
RM-010,RM-010,VEL OIL,,OIL,,,ml,,2026-09-11 05:48:01.601242+00,,ml,VEL OIL
RM-011,RM-011,EASYBLEND,,SOLVENT,,,ml,,2026-09-11 05:48:10.975445+00,,ml,EASYBLEND
RM-012,RM-012,BLACK BOTTLE v1 (50ml),,BOTTLES,,,pcs,,2026-09-11 05:48:21.502822+00,,pcs,BLACK BOTTLE v1 (50ml)
RM-013,RM-013,CLEAR BOTTLE v1 (50ml),,BOTTLES,,,pcs,,2026-09-11 05:48:30.598858+00,,pcs,CLEAR BOTTLE v1 (50ml)
RM-014,RM-014,ANT BTL STKR (50ml),,BOTTLE STICKERS,,,pcs,,2026-09-11 05:48:42.818714+00,,pcs,ANT BTL STKR (50ml)
RM-015,RM-015,AUR BTL STKR (50ml),,BOTTLE STICKERS,,,pcs,,2026-09-11 05:48:57.690179+00,,pcs,AUR BTL STKR (50ml)
RM-016,RM-016,DWI BTL STKR (50ml),,BOTTLE STICKERS,,,pcs,,2026-09-11 05:49:10.044876+00,,pcs,DWI BTL STKR (50ml)
RM-017,RM-017,GAB BTL STKR (50ml),,BOTTLE STICKERS,,,pcs,,2026-09-11 05:49:24.517+00,,pcs,GAB BTL STKR (50ml)
RM-018,RM-018,RND BTL STKR (50ml),,BOTTLE STICKERS,,,pcs,,2026-09-11 05:49:36.108659+00,,pcs,RND BTL STKR (50ml)
RM-019,RM-019,BLA BTL STKR (50ml),,BOTTLE STICKERS,,,pcs,,2026-09-11 05:49:51.522712+00,,pcs,BLA BTL STKR (50ml)
RM-020,RM-020,CUC BTL STKR (50ml),,BOTTLE STICKERS,,,pcs,,2026-09-11 05:50:04.691252+00,,pcs,CUC BTL STKR (50ml)
RM-021,RM-021,EMI BTL STKR (50ml),,BOTTLE STICKERS,,,pcs,,2026-09-11 05:50:18.22082+00,,pcs,EMI BTL STKR (50ml)
RM-022,RM-022,KIT BTL STKR (50ml),,BOTTLE STICKERS,,,pcs,,2026-09-11 05:50:31.695945+00,,pcs,KIT BTL STKR (50ml)
RM-023,RM-023,VEL BTL STKR (50ml),,BOTTLE STICKERS,,,pcs,,2026-09-11 05:50:40.674131+00,,pcs,VEL BTL STKR (50ml)
RM-024,RM-024,BOX v1 (50ml),,BOX - PACKAGING,,,pcs,,2026-09-11 05:50:56.500338+00,,pcs,BOX v1 (50ml)
RM-025,RM-025,ANT BOX STKR,,STICKERS - PACKAGING,,,pcs,,2026-09-11 05:52:25.451769+00,,pcs,ANT BOX STKR
RM-026,RM-026,AUR BOX STKR,,STICKERS - PACKAGING,,,pcs,,2026-09-11 05:52:34.767274+00,,pcs,AUR BOX STKR
RM-027,RM-027,DWI BOX STKR,,STICKERS - PACKAGING,,,pcs,,2026-09-11 05:52:44.826658+00,,pcs,DWI BOX STKR
RM-028,RM-028,GAB BOX STKR,,STICKERS - PACKAGING,,,pcs,,2026-09-11 05:52:54.494779+00,,pcs,GAB BOX STKR
RM-029,RM-029,RND BOX STKR,,STICKERS - PACKAGING,,,pcs,,2026-09-11 05:53:03.183133+00,,pcs,RND BOX STKR
RM-030,RM-030,BLA BOX STKR,,STICKERS - PACKAGING,,,pcs,,2026-09-11 05:53:12.644782+00,,pcs,BLA BOX STKR
RM-031,RM-031,CUC BOX STKR,,STICKERS - PACKAGING,,,pcs,,2026-09-11 05:53:21.903863+00,,pcs,CUC BOX STKR
RM-032,RM-032,EMI BOX STKR,,STICKERS - PACKAGING,,,pcs,,2026-09-11 05:53:30.250973+00,,pcs,EMI BOX STKR
RM-033,RM-033,KIT BOX STKR,,STICKERS - PACKAGING,,,pcs,,2026-09-11 05:53:39.918445+00,,pcs,KIT BOX STKR
RM-034,RM-034,VEL BOX STKR,,STICKERS - PACKAGING,,,pcs,,2026-09-11 05:53:49.146769+00,,pcs,VEL BOX STKR
RM-035,RM-035,SHRINKING WRAP v1,,WRAP - PACKAGING,,,pcs,,2026-09-11 05:54:14.056042+00,,pcs,SHRINKING WRAP v1
